Mkt Al,Op Al,Orig,Dest,Manu,Type,Aircraft Family,Aircraft Type,Equip,Flights,Seats,ASMs,Block Mins
G4,G4,ABE,BNA,Airbus,Narrow,A320,A320,320,8,"1,440","986,400",928
G4,G4,ABE,DEN,Airbus,Narrow,A320,A320,320,9,"1,620","2,493,180","2,178"
G4,G4,ABE,FLL,Airbus,Narrow,A320,A320,320,9,"1,620","1,686,420","1,487"
G4,G4,ABE,MCO,Airbus,Narrow,A320,A320,320,11,"1,980","1,793,880","1,672"
G4,G4,ABE,MLB,Airbus,Narrow,A320,A320,320,9,"1,620","1,480,680","1,293"
G4,G4,ABE,MYR,Airbus,Narrow,A320,A320,320,29,"5,220","2,703,960","2,870"
G4,G4,ABE,PGD,Airbus,Narrow,A320,A319,319,1,156,"158,808",162
G4,G4,ABE,PGD,Airbus,Narrow,A320,A320,320,22,"3,960","4,031,280","3,564"
G4,G4,ABE,PIE,Airbus,Narrow,A320,A320,320,23,"4,140","4,015,800","3,519"
G4,G4,ABE,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,3,570,"552,900",464
G4,G4,ABE,RSW,Airbus,Narrow,A320,A320,320,8,"1,440","1,494,720","1,392"
G4,G4,ABE,SFB,Airbus,Narrow,A320,A319,319,6,936,"825,552",840
G4,G4,ABE,SFB,Airbus,Narrow,A320,A320,320,43,"7,740","6,826,680","6,030"
G4,G4,ABE,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,340,640","1,125"
G4,G4,ABE,SRQ,Airbus,Narrow,A320,A320,320,8,"1,440","1,440,000","1,272"
G4,G4,ACY,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,25,"4,750","4,640,750","3,900"
G4,G4,ACY,MYR,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,12,"2,280","1,062,480","1,020"
G4,G4,ACY,PIE,Airbus,Narrow,A320,A319,319,2,312,"287,352",324
G4,G4,ACY,PIE,Airbus,Narrow,A320,A320,320,2,360,"331,560",324
G4,G4,ACY,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,5,950,"874,950",808
G4,G4,ACY,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,260,080","1,184"
G4,G4,ALB,BNA,Airbus,Narrow,A320,A319,319,9,"1,404","1,158,300","1,251"
G4,G4,ALB,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,9,"1,710","2,058,840","1,782"
G4,G4,ALB,MYR,Airbus,Narrow,A320,A320,320,11,"1,980","1,354,320","1,453"
G4,G4,ALB,PGD,Airbus,Narrow,A320,A319,319,2,312,"369,720",376
G4,G4,ALB,PGD,Airbus,Narrow,A320,A320,320,14,"2,520","2,986,200","2,632"
G4,G4,ALB,PIE,Airbus,Narrow,A320,A319,319,7,"1,092","1,241,604","1,264"
G4,G4,ALB,PIE,Airbus,Narrow,A320,A320,320,2,360,"409,320",360
G4,G4,ALB,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,2,380,"432,060",360
G4,G4,ALB,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,594,480","1,376"
G4,G4,ALB,SRQ,Airbus,Narrow,A320,A320,320,8,"1,440","1,680,480","1,544"
G4,G4,ATW,AZA,Airbus,Narrow,A320,A320,320,17,"3,060","4,443,120","3,717"
G4,G4,ATW,BNA,Airbus,Narrow,A320,A319,319,9,"1,404","798,876",905
G4,G4,ATW,DEN,Airbus,Narrow,A320,A320,320,9,"1,620","1,428,840","1,447"
G4,G4,ATW,EWR,Airbus,Narrow,A320,A320,320,6,"1,080","833,760",750
G4,G4,ATW,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,9,"1,710","2,287,980","1,836"
G4,G4,ATW,GUF,Airbus,Narrow,A320,A320,320,8,"1,440","1,401,120","1,280"
G4,G4,ATW,LAS,Airbus,Narrow,A320,A320,320,17,"3,060","4,620,600","3,944"
G4,G4,ATW,MCO,Airbus,Narrow,A320,A320,320,8,"1,440","1,671,840","1,448"
G4,G4,ATW,PDX,Airbus,Narrow,A320,A320,320,9,"1,620","2,692,440","2,283"
G4,G4,ATW,PGD,Airbus,Narrow,A320,A320,320,13,"2,340","2,925,000","2,383"
G4,G4,ATW,PIE,Airbus,Narrow,A320,A320,320,3,540,"632,880",522
G4,G4,ATW,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,14,"2,660","3,117,520","2,433"
G4,G4,ATW,SAV,Airbus,Narrow,A320,A320,320,4,720,"666,720",556
G4,G4,ATW,SFB,Airbus,Narrow,A320,A320,320,15,"2,700","3,080,700","2,524"
G4,G4,ATW,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,2,380,"433,580",336
G4,G4,ATW,SNA,Airbus,Narrow,A320,A320,320,8,"1,440","2,488,320","2,200"
G4,G4,AUS,AVL,Airbus,Narrow,A320,A320,320,9,"1,620","1,539,000","1,310"
G4,G4,AUS,CVG,Airbus,Narrow,A320,A320,320,9,"1,620","1,551,960","1,374"
G4,G4,AUS,DSM,Airbus,Narrow,A320,A320,320,8,"1,440","1,170,720","1,040"
G4,G4,AUS,GRR,Airbus,Narrow,A320,A320,320,8,"1,440","1,588,320","1,312"
G4,G4,AUS,IAD,Airbus,Narrow,A320,A320,320,9,"1,620","2,101,140","1,748"
G4,G4,AUS,LAS,Airbus,Narrow,A320,A319,319,8,"1,248","1,360,320","1,368"
G4,G4,AUS,PIT,Airbus,Narrow,A320,A320,320,9,"1,620","1,960,200","1,599"
G4,G4,AUS,PVU,Airbus,Narrow,A320,A320,320,9,"1,620","1,702,620","1,494"
G4,G4,AUS,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,510,880","1,232"
G4,G4,AUS,SRQ,Airbus,Narrow,A320,A320,320,9,"1,620","1,516,320","1,336"
G4,G4,AUS,TYS,Airbus,Narrow,A320,A320,320,9,"1,620","1,428,840","1,259"
G4,G4,AVL,AUS,Airbus,Narrow,A320,A320,320,9,"1,620","1,539,000","1,363"
G4,G4,AVL,BOS,Airbus,Narrow,A320,A320,320,16,"2,880","2,255,040","2,125"
G4,G4,AVL,DEN,Airbus,Narrow,A320,A320,320,12,"2,160","2,695,680","2,445"
G4,G4,AVL,EWR,Airbus,Narrow,A320,A320,320,10,"1,800","1,049,400","1,100"
G4,G4,AVL,EYW,Airbus,Narrow,A320,A320,320,8,"1,440","1,081,440","1,008"
G4,G4,AVL,FLL,Airbus,Narrow,A320,A320,320,51,"9,180","6,058,800","5,918"
G4,G4,AVL,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,14,"2,660","1,755,600","1,628"
G4,G4,AVL,HOU,Airbus,Narrow,A320,A320,320,8,"1,440","1,213,920","1,104"
G4,G4,AVL,IAD,Airbus,Narrow,A320,A320,320,9,"1,620","599,400",749
G4,G4,AVL,LAS,Airbus,Narrow,A320,A319,319,8,"1,248","2,277,600","2,048"
G4,G4,AVL,MCO,Airbus,Narrow,A320,A320,320,12,"2,160","1,054,080","1,117"
G4,G4,AVL,MCO,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,1,190,"92,720",93
G4,G4,AVL,MDW,Airbus,Narrow,A320,A320,320,9,"1,620","844,020",933
G4,G4,AVL,PBI,Airbus,Narrow,A320,A320,320,15,"2,700","1,674,000","1,605"
G4,G4,AVL,PBI,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,1,190,"117,800",107
G4,G4,AVL,PGD,Airbus,Narrow,A320,A320,320,22,"3,960","2,328,480","2,314"
G4,G4,AVL,PGD,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,2,380,"223,440",210
G4,G4,AVL,PIE,Airbus,Narrow,A320,A319,319,2,312,"161,616",194
G4,G4,AVL,PIE,Airbus,Narrow,A320,A320,320,43,"7,740","4,009,320","4,171"
G4,G4,AVL,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,6,"1,140","590,520",582
G4,G4,AVL,SFB,Airbus,Narrow,A320,A319,319,1,156,"72,540",89
G4,G4,AVL,SFB,Airbus,Narrow,A320,A320,320,36,"6,480","3,013,200","3,203"
G4,G4,AVL,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,1,190,"88,350",88
G4,G4,AVL,SRQ,Airbus,Narrow,A320,A320,320,8,"1,440","797,760",800
G4,G4,AVL,VPS,Airbus,Narrow,A320,A320,320,6,"1,080","444,960",528
G4,G4,AZA,ATW,Airbus,Narrow,A320,A320,320,17,"3,060","4,443,120","3,318"
G4,G4,AZA,BIL,Airbus,Narrow,A320,A320,320,17,"3,060","2,686,680","2,319"
G4,G4,AZA,BIS,Airbus,Narrow,A320,A320,320,13,"2,340","2,555,280","2,022"
G4,G4,AZA,BLI,Airbus,Narrow,A320,A319,319,13,"2,028","2,449,824","2,419"
G4,G4,AZA,BZN,Airbus,Narrow,A320,A320,320,15,"2,700","2,324,700","2,014"
G4,G4,AZA,CID,Airbus,Narrow,A320,A320,320,12,"2,160","2,678,400","2,052"
G4,G4,AZA,CVG,Airbus,Narrow,A320,A320,320,8,"1,440","2,236,320","1,672"
G4,G4,AZA,DSM,Airbus,Narrow,A320,A320,320,13,"2,340","2,662,920","2,087"
G4,G4,AZA,EUG,Airbus,Narrow,A320,A320,320,11,"1,980","1,922,580","1,677"
G4,G4,AZA,FAR,Airbus,Narrow,A320,A320,320,25,"4,500","5,490,000","4,329"
G4,G4,AZA,FCA,Airbus,Narrow,A320,A320,320,12,"2,160","2,255,040","1,875"
G4,G4,AZA,FNT,Airbus,Narrow,A320,A320,320,8,"1,440","2,376,000","1,712"
G4,G4,AZA,FSD,Airbus,Narrow,A320,A320,320,25,"4,500","4,824,000","3,905"
G4,G4,AZA,FWA,Airbus,Narrow,A320,A320,320,8,"1,440","2,227,680","1,664"
G4,G4,AZA,GEG,Airbus,Narrow,A320,A320,320,9,"1,620","1,675,080","1,418"
G4,G4,AZA,GRI,Airbus,Narrow,A320,A320,320,11,"1,980","1,791,900","1,502"
G4,G4,AZA,GRR,Airbus,Narrow,A320,A320,320,19,"3,420","5,338,620","3,957"
G4,G4,AZA,GTF,Airbus,Narrow,A320,A320,320,8,"1,440","1,408,320","1,160"
G4,G4,AZA,ICT,Airbus,Narrow,A320,A320,320,8,"1,440","1,231,200","1,040"
G4,G4,AZA,IDA,Airbus,Narrow,A320,A320,320,20,"3,600","2,534,400","2,298"
G4,G4,AZA,LSE,Airbus,Narrow,A320,A320,320,9,"1,620","2,135,160","1,647"
G4,G4,AZA,MLI,Airbus,Narrow,A320,A320,320,8,"1,440","1,854,720","1,416"
G4,G4,AZA,MOT,Airbus,Narrow,A320,A320,320,9,"1,620","1,885,680","1,542"
G4,G4,AZA,MSO,Airbus,Narrow,A320,A320,320,12,"2,160","2,047,680","1,740"
G4,G4,AZA,OMA,Airbus,Narrow,A320,A320,320,8,"1,440","1,477,440","1,200"
G4,G4,AZA,PDX,Airbus,Narrow,A320,A320,320,8,"1,440","1,480,320","1,328"
G4,G4,AZA,PIA,Airbus,Narrow,A320,A320,320,17,"3,060","4,014,720","3,022"
G4,G4,AZA,PSC,Airbus,Narrow,A320,A320,320,11,"1,980","1,934,460","1,683"
G4,G4,AZA,PVU,Airbus,Narrow,A320,A320,320,57,"10,260","4,894,020","5,139"
G4,G4,AZA,RAP,Airbus,Narrow,A320,A320,320,18,"3,240","2,828,520","2,412"
G4,G4,AZA,RFD,Airbus,Narrow,A320,A320,320,17,"3,060","4,201,380","3,210"
G4,G4,AZA,SBN,Airbus,Narrow,A320,A320,320,13,"2,340","3,512,340","2,639"
G4,G4,AZA,SGF,Airbus,Narrow,A320,A320,320,21,"3,780","4,029,480","3,170"
G4,G4,AZA,SNA,Airbus,Narrow,A320,A320,320,8,"1,440","518,400",704
G4,G4,AZA,STC,Airbus,Narrow,A320,A320,320,8,"1,440","1,808,640","1,400"
G4,G4,AZA,TVC,Airbus,Narrow,A320,A320,320,5,900,"1,439,100","1,065"
G4,G4,BGR,PIE,Airbus,Narrow,A320,A319,319,4,624,"869,232",844
G4,G4,BGR,PIE,Airbus,Narrow,A320,A320,320,9,"1,620","2,256,660","1,919"
G4,G4,BGR,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,4,760,"1,058,680",844
G4,G4,BGR,SFB,Airbus,Narrow,A320,A319,319,6,936,"1,215,864","1,176"
G4,G4,BGR,SFB,Airbus,Narrow,A320,A320,320,7,"1,260","1,636,740","1,372"
G4,G4,BGR,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,10,"1,900","2,468,100","1,965"
G4,G4,BIL,AZA,Airbus,Narrow,A320,A320,320,17,"3,060","2,686,680","2,446"
G4,G4,BIL,LAS,Airbus,Narrow,A320,A319,319,9,"1,404","1,060,020","1,179"
G4,G4,BIS,AZA,Airbus,Narrow,A320,A320,320,13,"2,340","2,555,280","2,184"
G4,G4,BIS,LAS,Airbus,Narrow,A320,A319,319,7,"1,092","1,144,416","1,176"
G4,G4,BIS,LAS,Airbus,Narrow,A320,A320,320,1,180,"188,640",168
G4,G4,BLI,AZA,Airbus,Narrow,A320,A319,319,13,"2,028","2,449,824","2,346"
G4,G4,BLI,BUR,Airbus,Narrow,A320,A319,319,8,"1,248","1,285,440","1,328"
G4,G4,BLI,LAS,Airbus,Narrow,A320,A319,319,34,"5,304","5,060,016","5,198"
G4,G4,BLV,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,9,"1,710","1,757,880","1,412"
G4,G4,BLV,GUF,Airbus,Narrow,A320,A320,320,6,"1,080","639,360",660
G4,G4,BLV,GUF,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,7,"1,330","787,360",766
G4,G4,BLV,JAX,Airbus,Narrow,A320,A320,320,8,"1,440","1,042,560",928
G4,G4,BLV,LAS,Airbus,Narrow,A320,A319,319,8,"1,248","1,747,200","1,720"
G4,G4,BLV,MYR,Airbus,Narrow,A320,A320,320,12,"2,160","1,503,360","1,344"
G4,G4,BLV,PGD,Airbus,Narrow,A320,A319,319,3,468,"431,028",435
G4,G4,BLV,PGD,Airbus,Narrow,A320,A320,320,22,"3,960","3,647,160","3,185"
G4,G4,BLV,PIE,Airbus,Narrow,A320,A320,320,6,"1,080","908,280",780
G4,G4,BLV,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,11,"2,090","1,757,690","1,429"
G4,G4,BLV,SAV,Airbus,Narrow,A320,A319,319,1,156,"102,648",110
G4,G4,BLV,SAV,Airbus,Narrow,A320,A320,320,3,540,"355,320",330
G4,G4,BLV,SFB,Airbus,Narrow,A320,A319,319,13,"2,028","1,693,380","1,677"
G4,G4,BLV,SFB,Airbus,Narrow,A320,A320,320,6,"1,080","901,800",774
G4,G4,BLV,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,7,"1,330","1,110,550",915
G4,G4,BLV,SRQ,Airbus,Narrow,A320,A320,320,8,"1,440","1,262,880","1,048"
G4,G4,BLV,VPS,Airbus,Narrow,A320,A320,320,51,"9,180","5,388,660","5,205"
G4,G4,BMI,PIE,Airbus,Narrow,A320,A320,320,3,540,"505,440",425
G4,G4,BMI,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,6,"1,140","1,067,040",846
G4,G4,BMI,SFB,Airbus,Narrow,A320,A319,319,2,312,"286,104",282
G4,G4,BMI,SFB,Airbus,Narrow,A320,A320,320,3,540,"495,180",423
G4,G4,BMI,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,393,840","1,127"
G4,G4,BNA,ABE,Airbus,Narrow,A320,A320,320,8,"1,440","986,400",920
G4,G4,BNA,ALB,Airbus,Narrow,A320,A319,319,9,"1,404","1,158,300","1,150"
G4,G4,BNA,ATW,Airbus,Narrow,A320,A319,319,9,"1,404","798,876",916
G4,G4,BNA,BZN,Airbus,Narrow,A320,A319,319,17,"2,652","3,805,620","3,754"
G4,G4,BNA,CAK,Airbus,Narrow,A320,A319,319,9,"1,404","610,740",807
G4,G4,BNA,CID,Airbus,Narrow,A320,A319,319,7,"1,092","524,160",663
G4,G4,BNA,CID,Airbus,Narrow,A320,A320,320,2,360,"172,800",190
G4,G4,BNA,DSM,Airbus,Narrow,A320,A319,319,3,468,"247,572",301
G4,G4,BNA,DSM,Airbus,Narrow,A320,A320,320,16,"2,880","1,523,520","1,600"
G4,G4,BNA,FAR,Airbus,Narrow,A320,A319,319,8,"1,248","1,135,680","1,208"
G4,G4,BNA,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,205,360","1,064"
G4,G4,BNA,FNT,Airbus,Narrow,A320,A320,320,8,"1,440","715,680",744
G4,G4,BNA,FSD,Airbus,Narrow,A320,A319,319,9,"1,404","1,040,364","1,142"
G4,G4,BNA,GRR,Airbus,Narrow,A320,A319,319,2,312,"146,640",180
G4,G4,BNA,GRR,Airbus,Narrow,A320,A320,320,11,"1,980","930,600",989
G4,G4,BNA,GUF,Airbus,Narrow,A320,A319,319,8,"1,248","516,672",768
G4,G4,BNA,IAD,Airbus,Narrow,A320,A319,319,9,"1,404","760,968",900
G4,G4,BNA,IAD,Airbus,Narrow,A320,A320,320,2,360,"195,120",200
G4,G4,BNA,JAX,Airbus,Narrow,A320,A319,319,4,624,"302,016",368
G4,G4,BNA,MDT,Airbus,Narrow,A320,A319,319,9,"1,404","853,632",924
G4,G4,BNA,PGD,Airbus,Narrow,A320,A319,319,7,"1,092","755,664",845
G4,G4,BNA,PGD,Airbus,Narrow,A320,A320,320,2,360,"249,120",242
G4,G4,BNA,PIE,Airbus,Narrow,A320,A319,319,2,312,"190,944",210
G4,G4,BNA,PIE,Airbus,Narrow,A320,A320,320,3,540,"330,480",315
G4,G4,BNA,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,3,570,"348,840",315
G4,G4,BNA,PIT,Airbus,Narrow,A320,A320,320,8,"1,440","665,280",712
G4,G4,BNA,PVU,Airbus,Narrow,A320,A320,320,9,"1,620","2,246,940","1,908"
G4,G4,BNA,RFD,Airbus,Narrow,A320,A319,319,8,"1,248","546,624",712
G4,G4,BNA,RIC,Airbus,Narrow,A320,A319,319,6,936,"493,272",594
G4,G4,BNA,RIC,Airbus,Narrow,A320,A320,320,2,360,"189,720",198
G4,G4,BNA,SFB,Airbus,Narrow,A320,A319,319,7,"1,092","653,016",746
G4,G4,BNA,SFB,Airbus,Narrow,A320,A320,320,6,"1,080","645,840",642
G4,G4,BNA,SHV,Airbus,Narrow,A320,A319,319,6,936,"450,216",552
G4,G4,BNA,SHV,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,2,380,"182,780",184
G4,G4,BNA,SRQ,Airbus,Narrow,A320,A320,320,9,"1,620","1,051,380",988
G4,G4,BNA,SYR,Airbus,Narrow,A320,A319,319,10,"1,560","1,155,960","1,190"
G4,G4,BNA,XNA,Airbus,Narrow,A320,A319,319,7,"1,092","465,192",588
G4,G4,BNA,XNA,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,2,380,"161,880",166
G4,G4,BOI,SNA,Airbus,Narrow,A320,A320,320,12,"2,160","1,486,080","1,668"
G4,G4,BOS,AVL,Airbus,Narrow,A320,A320,320,16,"2,880","2,255,040","2,172"
G4,G4,BOS,DSM,Airbus,Narrow,A320,A320,320,8,"1,440","1,677,600","1,528"
G4,G4,BOS,GRR,Airbus,Narrow,A320,A320,320,8,"1,440","1,065,600","1,064"
G4,G4,BOS,IND,Airbus,Narrow,A320,A320,320,8,"1,440","1,176,480","1,172"
G4,G4,BOS,SRQ,Airbus,Narrow,A320,A320,320,9,"1,620","1,976,400","1,720"
G4,G4,BOS,TYS,Airbus,Narrow,A320,A320,320,14,"2,520","2,091,600","2,002"
G4,G4,BOS,VPS,Airbus,Narrow,A320,A320,320,4,720,"855,360",752
G4,G4,BUR,BLI,Airbus,Narrow,A320,A319,319,8,"1,248","1,285,440","1,320"
G4,G4,BUR,DSM,Airbus,Narrow,A320,A320,320,9,"1,620","2,326,320","1,806"
G4,G4,BUR,IND,Airbus,Narrow,A320,A320,320,9,"1,620","2,924,100","2,208"
G4,G4,BUR,PVU,Airbus,Narrow,A320,A320,320,8,"1,440","796,320",816
G4,G4,BZN,AZA,Airbus,Narrow,A320,A320,320,15,"2,700","2,324,700","2,099"
G4,G4,BZN,BNA,Airbus,Narrow,A320,A319,319,17,"2,652","3,805,620","3,336"
G4,G4,BZN,LAS,Airbus,Narrow,A320,A319,319,8,"1,248","874,848","1,008"
G4,G4,CAK,BNA,Airbus,Narrow,A320,A319,319,9,"1,404","610,740",804
G4,G4,CAK,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,558,000","1,304"
G4,G4,CAK,JAX,Airbus,Narrow,A320,A320,320,17,"3,060","2,200,140","2,057"
G4,G4,CAK,MYR,Airbus,Narrow,A320,A319,319,15,"2,340","1,212,120","1,470"
G4,G4,CAK,PGD,Airbus,Narrow,A320,A319,319,9,"1,404","1,354,860","1,363"
G4,G4,CAK,PGD,Airbus,Narrow,A320,A320,320,8,"1,440","1,389,600","1,216"
G4,G4,CAK,PIE,Airbus,Narrow,A320,A319,319,14,"2,184","1,963,416","1,982"
G4,G4,CAK,PIE,Airbus,Narrow,A320,A320,320,6,"1,080","970,920",840
G4,G4,CAK,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,1,190,"170,810",140
G4,G4,CAK,SAV,Airbus,Narrow,A320,A319,319,24,"3,744","2,268,864","2,518"
G4,G4,CAK,SFB,Airbus,Narrow,A320,A319,319,8,"1,248","1,044,576","1,064"
G4,G4,CAK,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,272,240","1,064"
G4,G4,CAK,SRQ,Airbus,Narrow,A320,A320,320,17,"3,060","2,858,040","2,431"
G4,G4,CAK,VPS,Airbus,Narrow,A320,A320,320,13,"2,340","1,808,820","1,723"
G4,G4,CHA,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,044,240",976
G4,G4,CHA,PIE,Airbus,Narrow,A320,A319,319,2,312,"160,056",192
G4,G4,CHA,PIE,Airbus,Narrow,A320,A320,320,1,180,"92,340",96
G4,G4,CHA,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,10,"1,900","974,700",957
G4,G4,CHA,SFB,Airbus,Narrow,A320,A319,319,1,156,"76,440",95
G4,G4,CHA,SFB,Airbus,Narrow,A320,A320,320,1,180,"88,200",94
G4,G4,CHA,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,7,"1,330","651,700",665
G4,G4,CHS,CVG,Airbus,Narrow,A320,A320,320,12,"2,160","1,073,520","1,235"
G4,G4,CHS,IND,Airbus,Narrow,A320,A320,320,9,"1,620","947,700","1,048"
G4,G4,CID,AZA,Airbus,Narrow,A320,A320,320,12,"2,160","2,678,400","2,232"
G4,G4,CID,BNA,Airbus,Narrow,A320,A319,319,7,"1,092","524,160",617
G4,G4,CID,BNA,Airbus,Narrow,A320,A320,320,2,360,"172,800",176
G4,G4,CID,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,9,"1,710","2,176,830","1,691"
G4,G4,CID,LAS,Airbus,Narrow,A320,A319,319,9,"1,404","1,853,280","1,826"
G4,G4,CID,PGD,Airbus,Narrow,A320,A319,319,4,624,"729,456",688
G4,G4,CID,PGD,Airbus,Narrow,A320,A320,320,9,"1,620","1,893,780","1,549"
G4,G4,CID,PIE,Airbus,Narrow,A320,A319,319,4,624,"679,536",628
G4,G4,CID,PIE,Airbus,Narrow,A320,A320,320,4,720,"784,080",625
G4,G4,CID,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,9,"1,710","1,862,190","1,413"
G4,G4,CID,SFB,Airbus,Narrow,A320,A319,319,3,468,"504,504",471
G4,G4,CID,SFB,Airbus,Narrow,A320,A320,320,3,540,"582,120",471
G4,G4,CID,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,11,"2,090","2,253,020","1,727"
G4,G4,CKB,MYR,Airbus,Narrow,A320,A319,319,1,156,"61,464",78
G4,G4,CKB,MYR,Airbus,Narrow,A320,A320,320,4,720,"283,680",312
G4,G4,CKB,MYR,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,3,570,"224,580",234
G4,G4,CKB,PIE,Airbus,Narrow,A320,A319,319,7,"1,092","870,324",877
G4,G4,CKB,PIE,Airbus,Narrow,A320,A320,320,2,360,"286,920",250
G4,G4,CKB,SFB,Airbus,Narrow,A320,A319,319,1,156,"113,412",114
G4,G4,CKB,SFB,Airbus,Narrow,A320,A320,320,4,720,"523,440",456
G4,G4,CKB,SFB,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,3,570,"414,390",342
G4,G4,CKB,VPS,Airbus,Narrow,A320,A320,320,4,720,"506,880",472
G4,G4,COS,PIE,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,9,"1,710","2,518,830","1,863"
G4,G4,COS,SNA,Airbus,Narrow,A320,A320,320,9,"1,620","1,320,300","1,338"
G4,G4,COU,SFB,Airbus,Narrow,A320,A319,319,3,468,"437,580",441
G4,G4,COU,SFB,Airbus,Narrow,A320,A320,320,5,900,"841,500",735
G4,G4,COU,VPS,Airbus,Narrow,A320,A320,320,8,"1,440","948,960",920
G4,G4,CVG,AUS,Airbus,Narrow,A320,A320,320,9,"1,620","1,551,960","1,346"
G4,G4,CVG,AZA,Airbus,Narrow,A320,A320,320,8,"1,440","2,236,320","1,806"
G4,G4,CVG,CHS,Airbus,Narrow,A320,A320,320,12,"2,160","1,073,520","1,128"
G4,G4,CVG,DEN,Airbus,Narrow,A320,A320,320,8,"1,440","1,539,360","1,440"
G4,G4,CVG,EWR,Airbus,Narrow,A320,A320,320,9,"1,620","921,780",995
G4,G4,CVG,EYW,Airbus,Narrow,A320,A320,320,9,"1,620","1,641,060","1,384"
G4,G4,CVG,FLL,Airbus,Narrow,A320,A320,320,21,"3,780","3,519,180","3,131"
G4,G4,CVG,FLL,Boeing,Narrow,B737 Misc,B737-Max 8 Passenger,7M8,8,"1,520","1,415,120","1,192"
G4,G4,CVG,GUF,Airbus,Narrow,A320,A320,320,13,"2,340","1,483,560","1,419"
G4,G4,CVG,JAX,Airbus,Narrow,A320,A320,320,13,"2,340","1,436,760","1,394"
G4,G4,CVG,LAS,Airbus,Narrow,A320,A319,319,2,312,"523,848",502
G4,G4,CVG,LAS,Airbus,Narrow,A320,A320,320,8,"1,440","2,417,760","2,000"
G4,G4,CVG,MLB,Airbus,Narrow,A320,A320,320,9,"1,620","1,278,180","1,174"
G4,G4,CVG,MYR,Airbus,Narrow,A320,A320,320,25,"4,500","2,200,500","2,280"
G4,G4,CVG,PBI,Airbus,Narrow,A320,A320,320,8,"1,440","1,284,480","1,120"
G4,G4,CVG,PDX,Airbus,Narrow,A320,A320,320,8,"1,440","2,844,000","2,264"
G4,G4,CVG,PGD,Airbus,Narrow,A320,A320,320,43,"7,740","6,579,000","5,847"
G4,G4,CVG,PIE,Airbus,Narrow,A320,A319,319,1,156,"120,900",127
G4,G4,CVG,PIE,Airbus,Narrow,A320,A320,320,37,"6,660","5,161,500","4,699"
